AVL,RB,B ONE,B FIVE,B TEN
4213,29,80,50,51
4309,28,82,55,62
4267,28,72,53,51
4298,29,73,47,56
4135,26,68,57,57
4151,25,73,60,53
4081,29,71,48,57
4342,28,75,64,56
4197,31,75,50,51
4159,29,78,50,52
4108,29,75,55,55
4384,28,88,50,58
4392,25,81,47,57
4151,28,83,50,52
4374,28,68,60,54
4030,28,76,51,57
4105,27,77,51,53
4171,27,76,48,51
4374,27,78,49,52
4202,27,73,51,54
4016,26,70,55,57
4321,25,85,48,57
4439,28,77,54,57
4430,27,88,49,54
4225,27,77,54,59
4411,29,70,61,54
4173,25,78,52,50
4326,29,71,56,56
4341,27,75,55,58
4142,32,85,51,51
4330,28,77,54,51
4211,25,73,56,60
4301,26,84,57,55
4303,25,72,56,52
4436,30,76,53,51
4366,30,82,51,54
4449,26,66,52,51
4256,26,75,54,58
4550,29,79,54,52
4486,29,84,51,60
4413,24,75,55,56
4698,28,72,49,52
4277,28,84,51,52
4433,28,80,57,54
4452,28,77,53,49
4507,27,69,55,55
4747,30,84,57,52
4380,27,70,49,56
4646,26,73,60,53
4513,23,70,58,58
4479,27,72,56,52
4388,25,72,49,49
4505,26,70,52,56
4454,26,91,61,50
4383,25,68,50,49
4710,26,86,51,56
4560,28,70,50,53
4443,30,80,60,59
4560,25,66,52,54
4360,24,76,50,47
4324,28,72,54,57
4404,25,70,55,51
4426,25,70,51,53
4491,25,75,56,55
4572,29,76,51,53
4729,28,71,56,52
4544,28,82,51,57
4758,25,65,57,57
4618,26,76,50,55
4551,26,90,51,52
4491,25,73,52,56
4447,29,69,59,49
4530,28,74,50,48
4505,28,69,51,60
4617,30,76,53,58
4389,24,74,54,55
4683,29,75,52,53
4668,25,77,58,52
4691,26,77,53,51
4698,27,74,55,56
4728,26,72,53,53
4761,27,92,58,55
4626,23,77,51,53
4714,28,74,55,53
4645,27,79,58,49
4723,28,84,63,55
4965,28,74,54,57
4822,28,73,57,52
4820,28,74,55,50
4849,24,74,50,52
4759,27,79,67,52
4726,28,79,53,52
4679,25,72,59,51
4537,25,70,53,53
4788,25,85,58,54
5006,30,82,58,51
4868,26,66,59,50
4777,27,71,54,53
4867,29,94,54,58
4902,29,77,66,52
4942,24,67,59,48
5016,25,70,50,49
4817,31,77,53,58
4728,28,72,52,53
4841,26,77,60,54
4749,28,70,53,60
4664,29,71,55,53
5009,28,79,53,53
4870,28,73,52,53
4694,25,76,56,58
4935,29,80,52,55
4871,25,68,55,55
4615,30,71,53,57
4875,28,74,57,51
4917,24,72,55,56
4830,28,79,56,57
4949,25,76,57,48
4870,28,71,53,55
5050,25,76,55,57
5028,27,71,51,60
4953,32,68,51,51
5060,29,79,54,53
4990,26,82,59,50
4954,27,75,51,58
4947,30,79,54,60
4730,27,78,51,51
4877,24,75,52,52
4917,29,73,53,62
4953,24,72,54,49
5079,27,74,57,55
4922,25,67,52,54
4887,28,81,50,50
4902,25,69,53,54
4924,28,78,52,56
4880,27,84,55,52
5086,26,71,54,61
5051,24,72,51,50
4973,27,77,57,50
4725,26,78,56,56
4888,26,76,53,51
4854,28,72,53,53
5259,28,70,60,55
4879,27,74,58,58
5118,26,71,62,55
4934,24,73,53,61
5090,27,80,51,54
4952,32,80,54,55
5165,27,75,56,52
5210,28,72,58,53
5220,27,67,54,56
5178,27,78,51,54
5290,23,73,60,52
4967,28,84,55,52
4766,30,87,57,57
5250,28,83,51,55
4935,28,79,55,57
5380,27,75,56,59
5182,26,78,53,49
5032,27,66,54,51
5085,25,79,56,53
4930,27,73,51,52
5064,28,73,55,59
5399,28,82,54,54
5346,25,72,57,60
5087,28,83,51,56
5334,29,83,58,53
5162,29,81,56,49
5313,25,73,54,54
5189,29,73,55,51
5205,25,75,62,54
5086,29,79,58,54
5174,27,74,57,55
5234,26,75,57,53
5368,24,70,54,59
5360,27,73,55,53
5261,28,72,53,54
5442,26,78,52,56
5074,29,78,64,52
5418,30,78,50,59
5203,27,73,52,48
5036,27,87,54,60
5120,28,78,54,55
5342,26,78,52,48
5201,30,79,61,59
5530,29,85,54,51
5337,27,77,54,59
5289,27,74,56,51
5097,28,79,53,52
5703,29,78,58,57
5558,27,83,54,57
5282,27,77,57,51
5274,24,74,57,54
5287,28,81,50,49
5264,26,74,53,53
5284,26,75,56,57
5471,28,90,54,53
5625,30,69,59,61
5249,27,76,60,58
5535,28,78,53,53
5614,26,75,55,53
5594,26,71,57,53
5571,30,70,53,61
5439,28,69,53,52
5394,27,83,55,54
5516,26,78,53,53
5517,28,72,51,50
5475,22,76,54,51
5541,30,68,58,56
5344,25,80,55,52
5451,27,71,53,58
5345,30,79,61,51
5712,29,83,53,53
5480,29,75,56,53
5216,28,79,56,53
5852,25,71,59,53
5183,27,69,56,54
5546,30,73,55,56
5332,26,71,58,55
5444,25,79,57,54
5382,28,69,55,54
5578,31,75,53,53
5613,27,83,53,52
5249,28,71,58,56
5624,30,74,57,52
5338,29,77,52,52
5745,28,84,55,56
5544,29,81,59,54
5504,24,75,57,55
5757,30,74,65,51
5562,27,73,57,49
5685,27,77,53,61
5578,25,74,56,58
5715,27,75,57,55
5793,30,80,59,63
5741,31,78,59,53
5656,27,77,54,53
5640,30,73,53,55
5620,27,76,56,52
5704,28,78,55,54
5379,26,70,62,54
5919,28,73,59,55
5686,26,70,58,61
5561,28,83,53,54
5656,26,79,54,49
5430,27,80,60,51
5920,26,74,58,54
5991,28,74,57,52
5774,28,72,55,57
5845,31,82,55,56
5542,30,79,56,52
5722,27,75,57,52
5692,25,73,56,58
5766,28,76,53,61
5490,27,82,54,52
5782,27,73,54,52
5673,29,84,57,54
5668,29,73,50,50
5323,28,70,55,51
5764,30,84,56,56
5621,29,75,56,54
5708,31,72,54,55
5847,24,76,56,51
6013,27,68,53,58
5948,29,84,56,59
5920,29,75,54,54
6048,28,78,56,55
5900,29,79,59,54
5847,27,72,59,67
5712,27,84,58,55
5967,24,79,53,59
5665,27,84,59,56
5847,30,78,56,55
5723,25,75,55,57
5744,26,74,51,54
5973,27,73,58,56
6285,27,70,57,52
5728,28,88,58,59
5875,30,74,57,57
5802,30,87,55,54
6338,29,73,56,64
6037,29,75,55,57
5639,30,94,55,52
5986,28,74,58,56
6025,30,82,61,53
6045,28,79,51,49
5840,28,69,56,53
5876,26,79,61,52
6064,26,68,61,58
5960,31,81,58,54
5837,26,67,59,51
6023,29,81,59,55
5918,25,72,56,55
5854,26,73,55,53
5989,25,73,56,57
5852,31,82,55,55
5995,25,73,54,57
6054,29,75,59,51
6053,27,75,55,54
6125,30,82,56,57
5595,30,76,61,55
5839,27,68,53,60
6240,27,77,61,56
6083,32,77,59,53
6043,26,81,56,58
6143,29,90,63,57
6148,29,82,65,59
5955,28,74,62,54
6094,27,68,57,57
